,Entity_id,related_from,related_to_entity_id,related_to_term
102,84,tumor,83,lymph nodes
103,91,HMB45,88,positive
104,92,Melan A,88,positive
105,12,lesions,11,Miniprobe sonography
106,12,lesions,9,Endoscopic ultrasonography
107,14,homogeneously hypoechoic neoplasms,11,Miniprobe sonography
108,14,homogeneously hypoechoic neoplasms,9,Endoscopic ultrasonography
109,18,enlarged,17,Computed tomography
110,18,enlarged,19,lymph nodes
111,18,enlarged,20,mediastinal
112,18,enlarged,21,retroperitoneal
113,18,enlarged,22,mesenteric
114,18,enlarged,23,inguinal
115,24,intracavitary nodules,17,Computed tomography
116,24,intracavitary nodules,25,duodenum
117,30,submucosal lesions,28,endoscopy
118,30,submucosal lesions,31,rectum
119,33,lesions,32,EUS
120,33,lesions,34,terminal ileum
121,36,lesions,32,EUS
122,36,lesions,37,rectum
123,43,lesions,42,biopsied
124,43,lesions,44,rectum
125,45,lymphomatous proliferation,41,Pathological examination
126,45,lymphomatous proliferation,42,biopsied
127,45,lymphomatous proliferation,44,rectum
128,46,dense infiltration,41,Pathological examination
129,46,dense infiltration,42,biopsied
130,46,dense infiltration,44,rectum
131,48,cells,49,positive
132,50,cyclin D1,49,positive
133,51,CD20,49,positive
134,52,CD21,49,positive
135,53,SOX-11,49,positive
136,54,Bcl-2,49,positive
137,56,CD3,55,negative
138,57,CD10,55,negative
139,58,MCL,55,negative
140,6,submucosal lesions,5,endoscopy
141,6,submucosal lesions,7,gastric antrum
142,6,submucosal lesions,8,duodenal bulb
143,60,proliferative index,61,30
144,60,proliferative index,62,%
145,63,Ann Arbor,64,stage IV
146,16,oesophageal varices,14,upper gastrointestinal endoscopy
147,16,oesophageal varices,15,stage III
148,17,portal hypertensive gastropathy,14,upper gastrointestinal endoscopy
149,19,fusiform dilatation,18,Ultrasonography
150,2,pain,3,abdomen
151,20,dilated,18,Ultrasonography
152,20,dilated,21,branches
153,28,calcifications,27,angio-CT
154,28,calcifications,29,aneurysmal wall
155,28,calcifications,30,portal trunk
156,36,cirrhosis,35,Liver
157,36,cirrhosis,37,transcient elastometry
158,36,cirrhosis,38,biopsy
159,7,dilated,6,abdominal wall
160,7,dilated,8,veins
161,10,rectal hemangioma,11,cryotherapy
162,104,complication,103,surgery
163,105,intestinal infection,103,surgery
164,16,bleeding,15,intervention
165,16,bleeding,17,treatment
166,19,fluid,18,intravenous
167,22,rectal bleeding,21,Intermediate
168,23,fresh blood,21,Intermediate
169,29,heart rate,31,within normal limit
170,30,blood pressure,31,within normal limit
171,35,body weight,32,lost
172,35,body weight,33,5
173,35,body weight,34,kg
174,37,fresh blood,36,rectal examination
175,37,fresh blood,38,anal region
176,39,soft mass,40,digital rectal examination
177,41,proctoscopy,42,anal cavity
178,41,proctoscopy,43,rectum
179,44,bleeding,41,proctoscopy
180,45,polyp,41,proctoscopy
181,46,ulcer,41,proctoscopy
182,47,red blood cell count,48,3.09 × 1012
183,47,red blood cell count,49,/L
184,5,symptom,6,interventions
185,50,hemoglobin,51,86
186,50,hemoglobin,52,g/L
187,56,thickening,55,bowel wall
188,59,calcifications,61,bowel wall
189,59,calcifications,62,peri-rectal area
190,60,thickened,61,bowel wall
191,60,thickened,62,peri-rectal area
192,63,Lesion,64,sigmoid
193,63,Lesion,65,rectum
194,66,hypodense lesions,67,spleen
195,73,lesion,74,sigmoid
196,73,lesion,75,rectum
197,78,excised,76,rectum
198,78,excised,77,sigmoid colon
199,78,excised,79,sigmoid-anus
200,84,thin-walled,83,submucosal
201,84,thin-walled,85,vessel
202,91,endothelial cells,92,positive
203,95,cells,96,positive
204,99,D2–40,98,negative
205,19,dyspepsia,18,endoscopy
206,20,Helicobacter pylori,21,positive
207,27,vital signs,28,normal
208,3,discomfort,2,hypogastric region
209,3,discomfort,4,right lower quadrant
210,30,distention,29,abdomen
211,31,bowel sounds,32,normoactive
212,33,tenderness,34,right lower quadrant
213,33,tenderness,35,abdomen
214,36,rebound state,34,right lower quadrant
215,36,rebound state,35,abdomen
216,39,urine analysis,41,normal
217,40,electrolytes,41,normal
218,43,mass,42,abdominal CT scan
219,43,mass,44,cecum
220,45,distention,46,ileum
221,48,thickened,47,ileum wall
222,50,mass,49,colonoscopy
223,50,mass,52,cecum
224,51,lesion,49,colonoscopy
225,51,lesion,52,cecum
226,54,biopsy,55,cecum
227,6,pain,7,back
228,62,CD68.,60,positive
229,63,C-Kit,65,negative
230,64,CD117,65,negative
231,69,ALK,70,positive
232,75,invasive obstruction,74,colonoscopy
233,76,malignant tumor,74,colonoscopy
234,80,mass,78,surgery
235,80,mass,79,remove
236,82,ascites,81,surgery
237,82,ascites,83,abdomen
238,84,mass,85,cecum
239,93,complications,92,surgery
240,13,atrophy,14,puborectalis
241,16,atrophy,15,muscle
242,20,pressure,19,normal
243,23,DD,22,type IV
244,27,rectoanal inhibitory reflex,26,intact
245,8,symptoms,10,bisacodyl
246,8,symptoms,9,psyllium
247,11,carcinoembryonic antigen (CEA) level,12,30.25
248,11,carcinoembryonic antigen (CEA) level,13,ng/mL
249,11,carcinoembryonic antigen (CEA) level,14,normal
250,11,carcinoembryonic antigen (CEA) level,15,ng/mL
251,111,cisplatin,112,75
252,111,cisplatin,113,mg/m2
253,111,cisplatin,114,d1
254,115,gemcitabine,116,1250
255,115,gemcitabine,117,mg/m2
256,115,gemcitabine,118,d1
257,115,gemcitabine,119,d8
258,115,gemcitabine,120,for 21 days
259,115,gemcitabine,121,a cycle
260,115,gemcitabine,122,4 cycles
261,130,gefitinib,131,150
262,130,gefitinib,132,mg
263,130,gefitinib,133,qd
264,138,Ibandronate sodium,139,monthly
265,140,skeletal-related events,138,Ibandronate sodium
266,141,PS,142,0
267,2,abnormal nodule,4,left upper lung lobe
268,20,lesion,17,positron emission tomography
269,20,lesion,18,PET)/CT scan
270,20,lesion,19,lung
271,22,malignant tumor,18,PET)/CT scan
272,24,lobectomy,23,lung
273,27,adenocarcinoma,26,pathological examination
274,28,ADC,26,pathological examination
275,30,Immunohistochemistry (IHC) staining,31,positive
276,32,CK7,31,positive
277,33,TTF-1,31,positive
278,34,p63,31,positive
279,35,NapsinA,31,positive
280,38,Syn,36,negative
281,39,cgA,36,negative
282,40,Ki-67,36,negative
283,40,Ki-67,41,20
284,44,tumor,45,early stage
285,44,tumor,46,adjuvant treatment
286,48,pain,47,chest
287,48,pain,49,April
288,48,pain,50,2015
289,52,tender,53,chest wall
290,55,CYFRA21–1) level,56,17.45
291,55,CYFRA21–1) level,57,ng/mL
292,55,CYFRA21–1) level,59,0–3.3
293,55,CYFRA21–1) level,60,ng/mL
294,58,serum,59,0–3.3
295,58,serum,60,ng/mL
296,6,computed tomography,5,chest
297,65,lesions,61,CT
298,65,lesions,62,PET/CT scans
299,65,lesions,64,lung
300,70,staining,69,positive
301,75,TTF-1,77,absent
302,76,NapsinA staining,77,absent
303,92,pain,91,acute
304,92,pain,93,pleura
305,92,pain,94,palliative three-dimensional conformal radiotherapy
306,97,lesion,94,palliative three-dimensional conformal radiotherapy
307,97,lesion,95,3D-CRT
308,97,lesion,96,chest
309,97,lesion,98,delivered
310,10,magnetic resonance imaging,12,normal
311,10,magnetic resonance imaging,9,brain
312,100,BAL,107,BAL
313,100,BAL,93,thymic
314,100,BAL,95,bone
315,104,saline,102,150
316,104,saline,103,mL
317,104,saline,106,%
318,109,BAL fluid,110,0.61×105
319,109,BAL fluid,111,per mL
320,125,Gram,110,0.61×105
321,125,Gram,111,per mL
322,125,Gram,115,%
323,125,Gram,118,%
324,125,Gram,121,%
325,125,Gram,131,positive
326,125,Gram,80,negative
327,125,Gram,85,elevation
328,132,Pneumocystis jirovecii,100,BAL
329,132,Pneumocystis jirovecii,104,saline
330,132,Pneumocystis jirovecii,159,PCP
331,134,sulfamethoxazole/trimethoprim,136,g/day
332,134,sulfamethoxazole/trimethoprim,137,for 3 weeks
333,140,hypercortisolemia,159,PCP
334,144,cellulitis,159,PCP
335,15,partial anti-ACTH antibody,16,positivity
336,155,hypocortisolemia,159,PCP
337,159,PCP,145,left lower leg
338,164,compression,159,PCP
339,24,hypertension,23,Treatment
340,25,diabetes,23,Treatment
341,26,ectopic ACTH syndrome,23,Treatment
342,30,metastasis,27,treatment
343,30,metastasis,28,zoledronic acid
344,30,metastasis,29,bone
345,33,hyperglycemia,32,worsening
346,35,subcutaneous mass,36,chest
347,37,redness,39,leg
348,38,swelling,39,leg
349,4,metastasis,3,bone
350,44,chest sounds,43,abnormal
351,45,oxygen saturation,47,97
352,45,oxygen saturation,48,%
353,49,respiratory rate,50,13
354,49,respiratory rate,51,breaths per minute
355,5,serum levels,8,elevated
356,55,low-density lipoprotein cholesterol levels,56,elevated
357,57,potassium level,58,decreased
358,57,potassium level,59,2.8
359,57,potassium level,60,mEq/L.
360,6,ACTH,8,elevated
361,61,lactate dehydrogenase,62,468
362,61,lactate dehydrogenase,63,IU/L
363,64,beta-D glucan,65,370.8
364,64,beta-D glucan,66,pg/mL
365,67,ACTH,68,354.1
366,67,ACTH,69,pg/mL
367,7,cortisol,8,elevated
368,70,cortisol,71,49.1
369,70,cortisol,72,μg/dL
370,70,cortisol,73,elevated
371,74,serum,75,negative
372,78,cryptococcus antigens,75,negative
373,79,cytomegalovirus pp65 antigenemia test,80,negative
374,84,disease,100,BAL
375,84,disease,104,saline
376,86,serum levels,85,elevation
377,87,ACTH,85,elevation
378,88,cortisol,85,elevation
379,92,disease,100,BAL
380,92,disease,104,saline
381,92,disease,89,Computed tomography
382,92,disease,90,CT
383,94,metastatic,100,BAL
384,94,metastatic,104,saline
385,94,metastatic,89,Computed tomography
386,94,metastatic,90,CT
387,96,lesions,100,BAL
388,96,lesions,104,saline
389,96,lesions,89,Computed tomography
390,96,lesions,90,CT
391,96,lesions,93,thymic
392,96,lesions,95,bone
393,97,ground-glass opacities,104,saline
394,97,ground-glass opacities,98,lungs
395,17,hepatomegaly,16,abdominal CT scan
396,18,nodules,16,abdominal CT scan
397,2,generalized jaundice,3,sclera
398,22,carcinoma,21,bladder
399,22,carcinoma,23,thoracic
400,24,x-ray,23,thoracic
401,25,bronchopneumonia,24,x-ray
402,26,abnormal opacities,24,x-ray
403,33,nodules,31,macroscopic examination
404,35,modified,34,urinary bladder
405,38,nodule,34,urinary bladder
406,38,nodule,37,prostate
407,39,infiltrative aspect,37,prostate
408,43,nodule,44,bronchus
409,43,nodule,45,lung
410,46,peripheral nodules,45,lung
411,48,edema,47,moderate
412,50,lesions,49,brain
413,55,neutral formalin,53,10
414,55,neutral formalin,54,%
415,57,bone grafting,56,iliac crest
416,58,Microscopic examination,59,prostate
417,62,occult adenocarcinoma,58,Microscopic examination
418,62,occult adenocarcinoma,68,lung parenchyma
419,63,round cells,64,liver parenchyma
420,63,round cells,65,lymph nodes
421,63,round cells,66,hepatic hilum
422,67,Examination,68,lung parenchyma
423,69,peribronchial SCLC,67,Examination
424,70,tumor emboli,67,Examination
425,70,tumor emboli,71,veins
426,70,tumor emboli,72,lymphatic vessels
427,73,tumor nodules,75,pleura
428,76,tumor cells,77,bone marrow
429,76,tumor cells,78,iliac crest bone
430,8,carcinoma,7,urinary bladder
431,80,metastases,79,brain
432,82,angiolymphatic invasion,84,lymph nodes
433,82,angiolymphatic invasion,85,liver
434,82,angiolymphatic invasion,86,bone
435,83,metastases,84,lymph nodes
436,83,metastases,85,liver
437,83,metastases,86,bone
438,88,synchronous occult adenocarcinoma,89,prostate
439,13,mass,10,computed tomography
440,13,mass,11,CT
441,13,mass,14,liver lobe
442,13,mass,9,Ultrasonography
443,22,masses,23,lobes
444,22,masses,24,liver
445,25,oxaliplatin,29,35
446,25,oxaliplatin,30,mL
447,26,pirarubicin,29,35
448,27,hydroxycamptothecin,29,35
449,27,hydroxycamptothecin,30,mL
450,28,lipiodol,29,35
451,28,lipiodol,30,mL
452,3,pain,2,right upper quadrant
453,35,pain,34,right upper quadrant
454,35,pain,36,TACE
455,37,TACE procedure,38,hepatic artery
456,42,dyspnoea,41,acute
457,43,oxygen saturation,44,decreased
458,43,oxygen saturation,45,90
459,43,oxygen saturation,46,%
460,48,X-ray,47,chest
461,49,reticular shadows,48,X-ray
462,49,reticular shadows,50,lung
463,52,CT scan,51,chest
464,59,respiratory symptom,58,supportive therapies
465,6,α-fetoprotein level,7,1185.3
466,6,α-fetoprotein level,8,ng/mL
467,100,methimazole,101,20
468,100,methimazole,102,mg
469,100,methimazole,103,every 6 hours
470,100,methimazole,99,oral
471,104,asthma,105,landiolol hydrochloride
472,104,asthma,106,beta-adrenoceptor blocker
473,105,landiolol hydrochloride,107,04-Dec
474,105,landiolol hydrochloride,108,μg/kg/min
475,106,beta-adrenoceptor blocker,107,04-Dec
476,106,beta-adrenoceptor blocker,108,μg/kg/min
477,110,tachycardia,111,landiolol hydrochloride
478,111,landiolol hydrochloride,112,discontinued
479,113,white blood cell count,114,decreased
480,113,white blood cell count,115,"2,800"
481,113,white blood cell count,116,cells/mm3
482,113,white blood cell count,118,44.2
483,117,neutrophils,118,44.2
484,117,neutrophils,119,%
485,117,neutrophils,121,cells/mm3
486,12,GD,13,methimazole
487,122,Methimazole,123,discontinued
488,129,anti-glutamic acid decarboxylase (GAD) antibody,128,elevated
489,130,anti-insulinoma antigen 2 (IA-2) antibody,128,elevated
490,137,plasma glucose levels,138,139
491,137,plasma glucose levels,139,152
492,137,plasma glucose levels,140,mg/dL
493,141,serum C-peptide levels,142,0.8
494,141,serum C-peptide levels,143,1.3
495,141,serum C-peptide levels,144,ng/mL
496,16,diseases,15,thyroid
497,17,diabetes,15,thyroid
498,18,influenza A,19,oseltamivir phosphate
499,21,body temperature,22,37
500,24,blood pressure,25,90/60
501,24,blood pressure,26,mmHg
502,27,heart rate,28,200
503,27,heart rate,29,bpm
504,30,respiratory rate,31,32
505,30,respiratory rate,32,breaths/min
506,33,oxygen saturation,34,99
507,33,oxygen saturation,35,%
508,41,non-tender,40,abdomen
509,44,edema,43,lower extremity
510,46,tachycardia,45,electrocardiogram
511,47,atrial fibrillation,45,electrocardiogram
512,49,radiograph,48,chest
513,49,radiograph,50,normal
514,55,plasma glucose level,54,increased
515,55,plasma glucose level,56,472
516,55,plasma glucose level,57,mg/dL
517,59,HbA1c level,58,increased
518,59,HbA1c level,60,13.7
519,59,HbA1c level,61,%
520,63,free triiodothyronine level,62,increased
521,63,free triiodothyronine level,64,6.44
522,63,free triiodothyronine level,65,pg/mL
523,66,free thyroxine level,67,2.83
524,66,free thyroxine level,68,ng/dL
525,70,thyrotropin (TSH) level,69,suppressed
526,70,thyrotropin (TSH) level,71,0.005
527,70,thyrotropin (TSH) level,72,μIU/mL
528,75,thyrotoxicosis,77,central nervous system
529,76,symptoms,77,central nervous system
530,84,insulin,83,intravenous
531,84,insulin,85,drip
532,90,hydrocortisone,89,intravenous
533,90,hydrocortisone,91,100
534,90,hydrocortisone,92,mg
535,90,hydrocortisone,93,every 8 hours
536,95,potassium iodine,94,oral
537,95,potassium iodine,96,50
538,95,potassium iodine,97,mg
539,95,potassium iodine,98,every 6 hours
540,10,CT,11,paranasal sinuses
541,13,lytic lesion,10,CT
542,13,lytic lesion,14,maxilla
543,13,lytic lesion,15,lucent center
544,13,lytic lesion,9,Computed Tomography
545,16,calcifications,10,CT
546,16,calcifications,14,maxilla
547,16,calcifications,9,Computed Tomography
548,17,lesion,18,soft tissue
549,2,palatal fleshy mass,3,molars
550,20,heterogeneous contrast enhancement,18,soft tissue
551,20,heterogeneous contrast enhancement,19,mild
552,21,lesion,22,maxillary alveolus
553,21,lesion,23,hard palate
554,21,lesion,24,maxillary wall
555,21,lesion,25,maxillary wall
556,26,lesion,27,roots
557,26,lesion,28,maxillary molars
558,26,lesion,29,pre-molars
559,32,mass,33,maxilla
560,34,hypermetabolic,33,maxilla
561,35,SUVmax,36,9.7
562,42,palatal mass,41,trans-oral incisional biopsy
563,45,hemangiopericytoma,46,cartilaginous islands
564,5,swelling,4,nasoendoscopic examination
565,5,swelling,6,nasal space
566,5,swelling,7,meatus
567,5,swelling,8,inferior turbinate
568,54,tumor,53,resection
569,54,tumor,55,adjuvant chemotherapy
570,9,Computed Tomography,11,paranasal sinuses
571,12,dysphagia,11,operation
572,13,positron emission tomography (PET) scan,16,unremarkable
573,23,recurrence,19,computed tomography
574,23,recurrence,20,CT
575,27,stricture,28,esophagus
576,33,failure,31,2013
577,33,failure,34,esophageal sphincter
578,46,dysphagia,43,January
579,46,dysphagia,44,2014
580,46,dysphagia,45,worsening
581,49,achalasia,48,treatment
582,52,esophageal sphincter pressure,51,elevated
583,57,ulcerated,55,EGD
584,57,ulcerated,60,gastroesophageal junction
585,58,fungating mass,55,EGD
586,58,fungating mass,56,pneumatic dilation
587,58,fungating mass,60,gastroesophageal junction
588,61,Biopsies,62,LCNEC
589,63,tumor,61,Biopsies
590,63,tumor,64,resected
591,69,metastatic disease,67,CT scan
592,71,disease,70,chemotherapy
593,9,tumor,10,LCNEC
594,15,diarrhea,14,chronic
595,16,serum creatinine level,17,1.7
596,16,serum creatinine level,18,mg/dL
597,20,tacrolimus,21,3
598,20,tacrolimus,22,mg/day
599,23,mycophenolate mofetil,24,1500
600,23,mycophenolate mofetil,25,mg/day
601,26,prednisone,27,4
602,26,prednisone,28,mg
603,26,prednisone,29,every other day
604,30,tacrolimus trough concentration,31,6.3
605,30,tacrolimus trough concentration,32,ng/mL
606,33,white blood cell count,34,"12,400"
607,33,white blood cell count,35,/μL
608,36,C-reactive protein level,37,3.9
609,36,C-reactive protein level,38,mg/dL
610,39,ampicillin/sulbactam,40,9
611,39,ampicillin/sulbactam,41,g/day
612,39,ampicillin/sulbactam,42,intravenously
613,4,discoloration,3,skin
614,45,automated blood culture,47,positivity
615,56,gyrB gene,57,positive
616,6,pain,7,knee
617,6,pain,8,leg
618,70,blood culture,71,positive
619,73,culture,74,negative
620,78,ampicillin-sulbactam,77,a total of 6 weeks
621,78,ampicillin-sulbactam,79,drip
622,78,ampicillin-sulbactam,80,for 2 weeks
623,82,levofloxacin,81,oral
624,82,levofloxacin,83,for 4 weeks
625,86,stool culture,87,negative
626,9,symptoms,10,forearm
627,9,symptoms,11,thigh
628,105,swollen,107,intracapillary cells
629,106,vacuolated,107,intracapillary cells
630,108,haemorrhages,109,kidneys
631,108,haemorrhages,110,liver
632,108,haemorrhages,111,spleen
633,15,blood pressure,16,rose
634,15,blood pressure,17,190/130
635,21,serum creatinine,20,increase
636,22,aminotransferases,20,increase
637,24,magnesium sulphate,23,Intravenous
638,27,placenta residue,25,Abdominal ultrasound
639,35,liver enzymes,34,elevated
640,4,blood pressure,3,elevated
641,4,blood pressure,5,150/100
642,4,blood pressure,6,mmHg
643,46,serum urea,45,High
644,47,creatinine,45,High
645,51,furosemide,50,high dose
646,53,blood pressure,54,60/40
647,55,oxygen saturation,56,70
648,55,oxygen saturation,57,%
649,59,cardiac arrest,58,acute
650,59,cardiac arrest,60,resuscitation
651,63,blood pressure,64,rose
652,63,blood pressure,65,150/110
653,66,oxygen saturation,67,90
654,66,oxygen saturation,68,%
655,72,oxygen saturation,73,98
656,72,oxygen saturation,74,%
657,77,death,78,surgical intervention
658,77,death,79,medico-legal autopsy
659,8,blood pressure,9,120/80
660,81,oedema,80,autopsy
661,81,oedema,82,brain
662,81,oedema,83,lungs
663,84,dilatation,85,ventricles
664,88,hydroperitoneum,89,2500
665,88,hydroperitoneum,90,mL
666,88,hydroperitoneum,92,200
667,88,hydroperitoneum,93,mL
668,94,caesarean section,95,unremarkable
669,96,Petechial and suffusional haemorrhages,100,renal pelvis
670,96,Petechial and suffusional haemorrhages,101,peritoneum
671,96,Petechial and suffusional haemorrhages,102,small and large bowel
672,96,Petechial and suffusional haemorrhages,97,pleura
673,96,Petechial and suffusional haemorrhages,98,endocardium
674,96,Petechial and suffusional haemorrhages,99,mucosae
675,103,non-neoplastic,104,liver
676,105,pericellular fibrosis,104,liver
677,109,pain,108,right upper quadrant
678,11,incisional hernia,12,repair
679,113,tumour recurrence,112,MRI scans
680,118,pain,116,worsening
681,118,pain,117,right upper quadrant
682,121,CT,122,chest
683,121,CT,123,abdomen
684,121,CT,124,pelvis
685,126,tumour recurrence,121,CT
686,126,tumour recurrence,125,extensive
687,126,tumour recurrence,127,resection
688,128,pleural effusion,130,lung base
689,129,pleural mass,130,lung base
690,134,serosanguineous fluid,132,Pleurocentesis
691,135,Cytology,136,negative
692,15,BMI,16,45
693,24,drugs,23,intravenous
694,26,faecal occult blood test,27,negative
695,28,colonoscopy,29,unremarkable
696,31,ovoid mass,30,ultrasound scan
697,31,ovoid mass,33,liver
698,32,echogenicity,30,ultrasound scan
699,32,echogenicity,33,liver
700,37,pedunculated lesion,35,computed tomography (CT) scan
701,41,lesion,38,magnetic resonance imaging
702,41,lesion,39,MRI
703,41,lesion,43,liver
704,42,isointense,43,liver
705,48,lesion,50,images
706,53,gamma-glutamyl transpeptidase,52,mildly elevated
707,53,gamma-glutamyl transpeptidase,54,137
708,53,gamma-glutamyl transpeptidase,55,IU/L
709,53,gamma-glutamyl transpeptidase,56,IU/L
710,57,Hepatitis screen,60,19–9
711,57,Hepatitis screen,61,unremarkable
712,58,alpha-fetoprotein,61,unremarkable
713,59,carcinoembryonic antigen,60,19–9
714,59,carcinoembryonic antigen,61,unremarkable
715,65,mass,62,subsegmental resection
716,65,mass,64,IVb
717,69,hepatic steatosis,68,severe
718,78,extracellular collagen deposition,79,myxoid stroma
719,78,extracellular collagen deposition,80,branching vessels
720,81,hyalinisation,79,myxoid stroma
721,81,hyalinisation,80,branching vessels
722,83,mitotic rate,82,high
723,83,mitotic rate,84,9 per 10
724,92,tumour,93,negative
725,94,c-Kit,93,negative
726,95,CD31,93,negative
727,96,SMA,93,negative
728,1,dyspnea,2,intubation
729,1,dyspnea,3,ventilatory support
730,13,cardiorespiratory examination,14,remarkable
731,16,jugular venous pressure,15,elevated
732,20,bibasilar crackles,21,lung fields
733,22,complete blood cell count,25,within normal limits
734,24,cardiac biomarkers,25,within normal limits
735,27,ST depression,26,electrocardiogram
736,28,anterolateral ischemia,26,electrocardiogram
737,30,radiograph,29,chest
738,31,pulmonary vascular congestion,30,radiograph
739,32,pulmonary edema,30,radiograph
740,35,wall motion,34,normal
741,37,diastolic dysfunction,33,echocardiographic examination
742,37,diastolic dysfunction,36,mild
743,38,diastolic to late diastolic transmitral ratio,33,echocardiographic examination
744,45,pulmonary edema,44,extubation
745,45,pulmonary edema,46,mechanical ventilation
746,47,Cardiac catheterization,48,coronary arteries
747,50,extubation,49,failed
748,53,multinodular goiter,51,computed tomographic scan
749,53,multinodular goiter,54,mediastinum
750,55,tracheal stenosis,51,computed tomographic scan
751,57,enlarged goiter,58,surgical intervention
752,57,enlarged goiter,59,thyroidectomy
753,6,discomfort,5,chest
754,61,tracheal stenosis,60,Intraoperative bronchoscopy
755,119,p53,121,negative
756,120,bcl-2,121,negative
757,122,Ki-67 labeling index,123,2
758,122,Ki-67 labeling index,124,%
759,13,computerized tomography,15,head
760,130,invasion,131,tissue
761,14,CT,15,head
762,17,serum level,21,ng/ml
763,19,PRL,16,exceedingly high-
764,19,PRL,20,4408
765,19,PRL,21,ng/ml
766,23,growth hormone,25,0.5
767,23,growth hormone,26,ng/ml
768,24,GH,25,0.5
769,24,GH,26,ng/ml
770,27,luteinizing hormone,28,2.6
771,27,luteinizing hormone,29,mIU/ml
772,30,follicle-stimulating hormone,32,4.57
773,33,adrenocorticotropic hormone,35,37.4
774,34,ACTH,36,pg/ml
775,37,thyroid-stimulating hormone,39,2.68
776,37,thyroid-stimulating hormone,40,μIU/ml
777,41,T1-weighted magnetic resonance (MR) imaging,42,with contrast
778,43,tumor enhancement,41,T1-weighted magnetic resonance (MR) imaging
779,45,edematous,44,adjacent tissue
780,46,mass,48,dopamine analog
781,48,dopamine analog,47,4-week course
782,49,cabergoline,47,4-week course
783,49,cabergoline,50,1
784,49,cabergoline,51,mg/week
785,5,drooping,6,lip
786,52,serum PRL level,53,2207
787,52,serum PRL level,54,ng/ml
788,52,serum PRL level,55,elevated
789,57,enlarged,56,ventricle
790,60,tumor,59,surgical debulking
791,60,tumor,61,craniotomy
792,67,serum PRL level,68,declined
793,67,serum PRL level,69,250
794,67,serum PRL level,70,ng/ml
795,72,cabergoline,73,increased
796,72,cabergoline,74,0.5
797,72,cabergoline,75,mg/day
798,79,metastasis,80,surgery
799,88,hyaline changes,89,vessel walls
